单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
attain,vt.,达到；完成；获得,vi.,达到,,,,,,,attaining,attained,attained,,
attempt,vt.,企图，试图,n.,努力，尝试，企图,,,,,,,attempting,attempted,attempted,,
attend,vt.,出席，参加；照顾，护理,vi.,注意；侍奉,,,,,,,attending,attended,attended,,
attendance,n.,出席；出席人数；护理，照料,,,,,,,,,,,,,
attendant,n.,陪从；出席人；服务员,adj.,出席的；伴随的,,,,,,,,,,,
attention,n.,注意，注意力；立正；特别照顾；照料,,,,,,,,,,,,,
attitude,n.,"态度，看法(to, toward, about)；姿势",,,,,,,,,,,,,
attorney,n.,(业务或法律事务上的)代理人；辩护律师,,,,,,,,,,,,,
attract,vt.,"引起的注意(或兴趣等),吸引；引起；激起",,,,,,,,,attracting,attracted,attracted,,
attractive,adj.,吸引人的，引人注意的；漂亮的，迷人的,,,,,,,,,,,,,
attribute,v.,"(to)归因于,归属于",n.,"属性,品质,特征",,,,,,,attributing,attributed,attributed,,
auction,n.,／,vt.,拍卖,,,,,,,auctioning,auctioned,auctioned,,
audience,n.,听众，观众，读者；见面，会见,,,,,,,,,,,,,
audio,n.&adj.,音频(响)(的)；声音(的)，听觉(的),,,,,,,,,,,,,
audit,v.,审计；查帐；核对；旁听,,,,,,,,,auditing,audited,audited,,
auditorium,n.,观众席，听众席；会堂，礼堂,,,,,,,,,,,,,
augment,vt.,(使)增大，增加，增长，扩张,,,,,,,,,augmenting,augmented,augmented,,
August,n.,8 月,,,,,,,,,,,,,
aunt,n.,姨母，姑母，伯母，婶母，舅母，阿姨,,,,,,,,,,,,,
aural,adj.,听觉的，听力的,,,,,,,,,,,,,
authentic,adj.,真的，真正的；可靠的，可信的，有根据的,,,,,,,,,,,,,
author,n.,作者，作家，著作人；创始人，发起人,,,,,,,,,,,,,
authority,n.,权力，权威；权威人士；(pl.)官方，当局,,,,,,,,,,,,,
auto,n.,(automobile)(口语)汽车,,,,,,,,,,,,,
automatic,adj.,自动(装置)的；无意识的,n.,自动机械,,,,,,,,,,,
automation,n.,自动，自动化，自动操作,,,,,,,,,,,,,
autonomy,n.,自治，自治权,,,,,,,,,,,,,
autumn,n.,秋，秋季；成熟期，渐衰期,,,,,,,,,,,,,
auxiliary,adj.,辅助的，支援的,n.,辅助者，辅助设备,,,,,,,,,,,
avail,n.,"[一般用于否定句或疑问句中]效用,利益",,,,,,,,,,,,,
available,adj.,(用于物)可利用的；可见到的，接受采访的,,,,,,,,,,,,,
avenue,n.,林荫路，大街；(比喻)途径，渠道，方法,,,,,,,,,,,,,
average,n.,"平均,平均数",adj.,平均的；普通的,v.,平均,,,,,averaging,averaged,averaged,,
avert,v.,防止，避免；转移(目光、注意力等),,,,,,,,,averting,averted,averted,,
aviation,n.,航空，航空学；飞机制造业,,,,,,,,,,,,,
avoid,vt.,防止，避免；逃避，避开,,,,,,,,,avoiding,avoided,avoided,,
await,vt.,等候，期待；(事情等)降临于,,,,,,,,,awaiting,awaited,awaited,,
awake,adj.,醒着的,vt.,唤醒，使觉醒,vi.,醒来，醒悟到,,,,,awaking,awoke/awaked,awoken/awaked,,
award,vt.,"授予,给予；判定",n.,"奖,奖金；仲裁",,,,,,,awarding,awarded,awarded,,
aware,adj.,知道的，意识到的,,,,,,,,,,,,,
away,adv.,在远处；离开；渐渐远去；一直；去掉,,,,,,,,,,,,,
awe,n.,敬畏，惊惧,vt.,使敬畏，使惊惧,,,,,,,awing,awed,awed,,
awful,adj.,极度的，极坏的；威严的，可怕的,,,,,,,,,,,,,
awkward,adj.,笨拙的；尴尬的；使用不便的；难处理的,,,,,,,,,,,,,
axe,n.,（ax）斧子；削减,vt.,用斧砍,,,,,,,axing,axed,axed,,
axis,n.,轴，轴线，中心线；坐标轴，基准线,,,,,,,,,,,,,
baby,n.,婴儿；年龄最小的人；小动物,adj.,婴儿似的,,,,,,,,,,,
bachelor,n.,单身汉;(亦作 B-)学士(学位),,,,,,,,,,,,,
back,adj.,后面的,adv.,向后,v.,倒退；支持,n.,背；后面,,,backing,backed,backed,,
background,n.,"背景,经历；幕后",,,,,,,,,,,,,
backward,adj.,"向后的,倒行的;迟钝的",adv.,"向后,朝反方向",,,,,,,,,,,
bacon,n.,"咸猪肉,熏猪肉",,,,,,,,,,,,,
bacterium,n.,(pl.)bacteria 细菌,,,,,,,,,,,,,
bad,adj.,坏的；低劣的；不舒服的；腐败的；严重的,,,,,,,,,,,,,
badge,n.,"徽章,像章；标记；象征；记号",,,,,,,,,,,,,
badly,adv.,非常，严重地；坏地，差地，拙劣地,,,,,,,,,,,,,
badminton,n.,羽毛球,,,,,,,,,,,,,
bag,n.,袋，提包,v.,把…装入袋中；猎杀；占有,,,,,,,bagging,bagged,bagged,,
baggage,n.,行李,,,,,,,,,,,,,
bait,n.,饵，引诱物,vt.,用饵引诱；折磨，奚落,,,,,,,baiting,baited,baited,,
bake,v.,"烤,烘,焙;烧硬,焙干",,,,,,,,,baking,baked,baked,,
balance,v.,"称,(使)平衡",n.,"天平;平衡,均衡;差额,余款",,,,,,,balancing,balanced,balanced,,
balcony,n.,阳台；(电影院等的)楼厅，楼座,,,,,,,,,,,,,
bald,adj.,"秃的,秃头的",,,,,,,,,,,,,
ball,n.,球(状物);(正式的)舞会,vt.,把…捏成球状,,,,,,,balling,balled,balled,,
ballet,n.,芭蕾舞，芭蕾舞剧；芭蕾舞团,,,,,,,,,,,,,
balloon,n.,"气球,飞船",adj.,气球状的,v.,乘坐气球；膨胀,,,,,ballooning,ballooned,ballooned,,
ballot,n.,(不记名)投票；投票总数；投票权,vi.,投票,,,,,,,balloting,balloted,balloted,,
ban,v.,"取缔,查禁;(from)禁止",n.,"禁止,禁令",,,,,,,banning,banned,banned,,
banana,n.,香蕉,,,,,,,,,,,,,
band,n.,"条,带;乐队;波段;一群,一伙",v.,"缚,绑扎",,,,,,,banding,banded,banded,,
bandage,n.,绷带,v.,用绷带扎缚,,,,,,,bandaging,bandaged,bandaged,,
bang,n.,砰砰的声音;猛击,v.,"砰地关上,猛撞,猛击",,,,,,,banging,banged,banged,,
bank,n.,"银行；岸,堤",vi.,存入(经营)银行；信赖,,,,,,,banking,banked,banked,,
bankrupt,adj.,破产的；彻底缺乏的,vt.,使破产,n.,破产者,,,,,bankrupting,bankrupted,bankrupted,,
banner,n.,旗(帜),,,,,,,,,,,,,
banquet,n.,(正式的)宴会,vi.,参加宴会,vt.,宴情,,,,,banqueting,banqueted,banqueted,,
bar,n.,"条,杆,闩;酒吧;栅,障碍(物)",v.,"闩上,阻拦",,,,,,,barring,barred,barred,,
barbecue,n.,烤肉；烤肉用的台架,vt.,炙烤(肉等),,,,,,,barbecuing,barbecued,barbecued,,
barber,n.,理发师,,,,,,,,,,,,,
bare,adj.,"赤裸的,空的;稀少的,仅有的",v.,"露出,暴露",,,,,,,baring,bared,bared,,
barely,adv.,"赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有",,,,,,,,,,,,,
bargain,n.,"廉价货;交易,契约,合同",v.,"议价,成交",,,,,,,bargaining,bargained,bargained,,
bark,vi.,(狗等)吠，叫,n.,吠声，叫声；树皮,,,,,,,barking,barked,barked,,
barn,n.,"谷仓,仓库",,,,,,,,,,,,,
barrel,n.,"桶;枪管,炮管",,,,,,,,,,,,,
barren,adj.,贫瘠的；不育的；(植物)不结果的；无用的,,,,,,,,,,,,,
barrier,n.,"栅栏,屏障;障碍(物)",,,,,,,,,,,,,
base,n.,"基础,底部;根据地",v.,(on)把…基于,,,,,,,basing,based,based,,
baseball,n.,棒球,,,,,,,,,,,,,
basement,n.,"建筑物的底部,地下室,地窖",,,,,,,,,,,,,
basic,adj.,"基本的,基础的",,,,,,,,,,,,,
basin,n.,"盆,脸盆;内海,盆地",,,,,,,,,,,,,
basis,n.,"基础,根据",,,,,,,,,,,,,
basket,n.,筐，篮，篓,,,,,,,,,,,,,
basketball,n.,篮球，篮球运动,,,,,,,,,,,,,
bat,n.,"球拍,球棒,短棒;蝙蝠",,,,,,,,,,,,,
batch,n.,"一批,一组,一群",,,,,,,,,,,,,
bath,n.,"沐浴,洗澡;浴室(池,盆)",v.,(给…)洗澡,,,,,,,bathing,bathed,bathed,,
bathe,v.,"游泳,洗澡,浸,弄湿",,,,,,,,,bathing,bathed,bathed,,
bathroom,n.,"浴室;盥洗室,卫生间",,,,,,,,,,,,,
battery,n.,电池(组)；(器具等的)一组，一套；炮兵连,,,,,,,,,,,,,
battle,n.,"战役,战斗;斗争",v.,"战斗,斗争,搏斗",,,,,,,battling,battled,battled,,
bay,n.,"海湾,(港)湾",,,,,,,,,,,,,
be,v.,(就)是，等于；(存)在；到达，来到，发生,,,,,,,,,being,was/were,been,,
beach,n.,"海滩,湖滩,河滩",,,,,,,,,,,,,
beam,n.,"(横)梁,桁条;(光线的)束,柱",v.,微笑,,,,,,,beaming,beamed,beamed,,
bean,n.,"豆;菜豆,蚕豆",,,,,,,,,,,,,
bear,n.,熊,v.,"忍受,容忍;负担;结果实,生子女",,,,,,,bearing,bore,borne/born,,
beard,n.,胡须,,,,,,,,,,,,,
bearing,n.,轴承；忍受；关系，影响；举止；方向,,,,,,,,,,,,,
beast,n.,"兽,牲畜;凶残的人,举止粗鲁的人",,,,,,,,,,,,,
beat,n.,敲打;(心脏等)跳动,v.,打败;(心脏等)跳动,,,,,,,beating,beat,beaten,,
beautiful,adj.,美的，美丽的；出色的，完美的,,,,,,,,,,,,,
beauty,n.,美，美丽；美人，美丽的事物,,,,,,,,,,,,,
because,conj.,因为，由于,,,,,,,,,,,,,
become,vi.,变成，开始变得,vt.,适合，同…相称,,,,,,,becoming,became,become,,
bed,n.,"床,床位；(苗)床,坛；河床，(湖、海的)底",,,,,,,,,,,,,
bee,n.,蜂，蜜蜂；忙碌的人,,,,,,,,,,,,,
beef,n.,牛肉,,,,,,,,,,,,,
beer,n.,啤酒,,,,,,,,,,,,,
before,prep.,"(指时间)在…以前,在…前面，在…之前",,,,,,,,,,,,,
beforehand,adv.,"预先,事先",,,,,,,,,,,,,
beg,vt.,请求，乞求,vi.,恳请，行乞,,,,,,,begging,begged,begged,,
begin,v.,"(began,begun)开始，着手",,,,,,,,,beginning,began,begun,,
beginning,n.,开始，开端；起源，早期阶段,,,,,,,,,,,,,
behalf,n.,利益,,,,,,,,,,,,,
behave,v.,"举止,举动,表现;运转,开动",,,,,,,,,behaving,behaved,behaved,,
behavior,n.,"(behaviour)行为,举止；(机器等)运转情况",,,,,,,,,,,,,
behind,prep.,在…的背后，(遗留)在…后面；落后于,,,,,,,,,,,,,
being,n.,"生物，生命,存在",,,,,,,,,,,,,
belief,n.,信任，相信，信念；信仰，信条,,,,,,,,,,,,,
believe,vt.,相信，认为,vi.,相信，信任，信奉,,,,,,,believing,believed,believed,,
bell,n.,"钟,铃",,,,,,,,,,,,,
belly,n.,肚子，腹部；(像肚子一样)鼓起的部分，膛,,,,,,,,,,,,,
belong,v.,"(to)属于,附属,隶属;应归入(类别,范畴等)",,,,,,,,,belonging,belonged,belonged,,
beloved,adj.&n.,"受爱戴的,敬爱的;爱人,被心爱的人",,,,,,,,,,,,,
below,prep.,在…下面，在…以下,adv.,在下面，向下,,,,,,,,,,,
belt,n.,"(皮)带,腰带;地带",,,,,,,,,,,,,
bench,n.,"长凳,条凳;(工作)台,座",,,,,,,,,,,,,
bend,v.,"(使)弯曲;屈从,屈服",n.,"弯曲(处),曲折处",,,,,,,bending,bent,bent,,
beneath,prep.,"在…下边,在…之下",adv.,在下方,,,,,,,,,,,
beneficial,adj.,"(to)有利的,有益的",,,,,,,,,,,,,
benefit,n.,"利益,好处,恩惠",v.,"有益于;(from,by)受益",,,,,,,benefiting,benefited,benefited,,
benign,adj.,"(病)良性的,(气候)良好的,仁慈的,和蔼的",,,,,,,,,,,,,
beside,prep.,在…旁边，在…附近；和…相比,,,,,,,,,,,,,
besides,adv.,此外；并且,prep.,于…之外；除…以外,,,,,,,,,,,
best,adj.,最好的(good 和 well 最高级),adv.,最好地；最,,,,,,,,,,,
bet,v.,"赌,打赌",n.,"打赌,赌注",,,,,,,betting,bet/betted,bet/betted,,
betray,v.,"背叛,出卖;暴露,流露,泄露",,,,,,,,,betraying,betrayed,betrayed,,
better,adj.,较好的,adv.,更好(地),v.,改良,n.,较佳者,,,bettering,bettered,bettered,,
between,prep.,在…之间，在(两者)之间,adv.,在中间,,,,,,,,,,,
beverage,n.,(水，酒等之外的)饮料,,,,,,,,,,,,,
beware,v.,"当心,谨防",,,,,,,,,bewaring,bewared,bewared,,
bewilder,v.,"使迷惑,难住",,,,,,,,,bewildering,bewildered,bewildered,,
bewildering,adj.,令人困惑的，使人迷乱的,,,,,,,,,,,,,非大纲单词
beyond,prep.,在(或向)的那边，远于；超出,,,,,,,,,,,,,
bias,n.&v.,"(使有)偏见,偏心,偏袒",,,,,,,,,biasing,biased,biased,,
Bible,n.,圣经,,,,,,,,,,,,,
bibliography,n.,(有关某一专题的)书目；参考书目,,,,,,,,,,,,,
bicycle,n.,(bike)自行车,vi.,骑自行车,,,,,,,bicycling,bicycled,bicycled,,
bid,v.,"祝愿;命令,吩咐;报价,投标",n.,"出众,投标",,,,,,,bidding,bid/bade,bid/bidden,,
big,adj.,大的；重要的；宽宏大量的；大受欢迎的,,,,,,,,,,,,,
bill,n.,"账单;招贴,广告;(人员,职称等的)表;钞票",,,,,,,,,,,,,
billion,num.&n.,"(美)十亿,(英)万亿",,,,,,,,,,,,,
bin,n.,(贮藏食物等用的)箱子,,,,,,,,,,,,,
bind,v.,"捆,绑,包括,束缚",,,,,,,,,binding,bound,bound,,
biographer,n.,传记作者，传记作家,,,,,,,,,,,,,非大纲单词
biography,n.,传记；传记文学,,,,,,,,,,,,,
biology,n.,生物学,,,,,,,,,,,,,
biotic,adj.,生物的，生命活动的,,,,,,,,,,,,,非大纲单词
bird,n.,鸟，雀；女人；嘘声,,,,,,,,,,,,,
birth,n.,出生，诞生；出身，血统；起源；出现,,,,,,,,,,,,,
birthday,n.,生日；(成方)纪念日,,,,,,,,,,,,,
biscuit,n.,"饼干,点心",,,,,,,,,,,,,
bite,v.&n.,"咬,叮",n.,一口,,,,,,,biting,bit,bitten,,
bitter,adj.,"(有)苦(味)的;痛苦的,厉害的",,,,,,,,,,,,,
bizarre,adj.,异乎寻常的，稀奇古怪的,,,,,,,,,,,,,
black,adj.,黑(色)的；黑暗的,n.,黑(色)；黑暗；黑人,,,,,,,,,,,
blackboard,n.,黑板,,,,,,,,,,,,,
blackmail,n.,讹诈，敲诈，勒索；胁迫，恫吓,,,,,,,,,,,,,
blade,n.,刀刃，刀片；桨叶；草叶，叶片,,,,,,,,,,,,,
blame,v.,"责备;怪,把…归咎于",n.,"责任,过错;责备",,,,,,,blaming,blamed,blamed,,
blank,adj.,"空白的,空着的;失色的",n.,空白;表格,,,,,,,,,,,
blanket,n.,毯子(可数)；厚厚一层(可数),vt.,铺上一层,,,,,,,blanketing,blanketed,blanketed,,
blast,n.,一阵(风);爆炸冲击波;管乐器声,v.,爆炸,,,,,,,blasting,blasted,blasted,,
blaze,n.,"火焰;火光;闪光,光辉",v.,"燃烧,冒火焰",,,,,,,blazing,blazed,blazed,,
bleak,adj.,荒凉的;冷酷的;没有希望的,,,,,,,,,,,,,
bleed,v.,"出血,流血",,,,,,,,,bleeding,bled,bled,,
blend,n.,混合(物),v.,"混和,混杂",,,,,,,blending,blended,blended,,
bless,v.,"祝福,保佑",,,,,,,,,blessing,blessed,blessed,,
blind,adj.,盲的，瞎的；盲目的,vt.,使失明,n.,百叶窗,,,,,blinding,blinded,blinded,,
block,n.,大块木（石）料;街区;障碍物,v.,"阻塞,拦阻",,,,,,,blocking,blocked,blocked,,
blood,n.,血液，血；血统，血亲；血气,,,,,,,,,,,,,
bloody,adj.,"流血的,血腥的",,,,,,,,,,,,,
bloom,n.,花(朵);开花(期),v.,开花,,,,,,,blooming,bloomed,bloomed,,
blossom,n.,花(簇)；花期；青春,vi.,开花；展开；繁荣,,,,,,,blossoming,blossomed,blossomed,,
blouse,n.,女衬衣，短上衣，宽阔的罩衫,,,,,,,,,,,,,
blow,vi.,吹，吹气，打气；吹奏；爆炸,n.,"打,打击",,,,,,,blowing,blew,blown,,
blue,adj.,"蓝色的;青灰色的；沮丧的,阴郁的",n.,蓝色,,,,,,,,,,,
blueprint,n.,蓝图，设计图，计划,vt.,制成蓝图，计划,,,,,,,blueprinting,blueprinted,blueprinted,,
blunder,v.,(因无知等而)犯大错;踉踉跄跄地走,n.,大错,,,,,,,blundering,blundered,blundered,,
blunt,adj.,率直的;钝的,v.,(使)钝;(使)迟钝,,,,,,,blunting,blunted,blunted,,
blur,n.,模糊不清的事物；污点,vt.,使模糊；玷污,,,,,,,blurring,blurred,blurred,,
blush,v.&n.,脸红,,,,,,,,,blushing,blushed,blushed,,
board,n.,"板,木板;全体委员;伙食",v.,"上船(车,飞机)",,,,,,,boarding,boarded,boarded,,
boast,v.,"(of,about)自夸,夸耀",n.,"自夸,大话",,,,,,,boasting,boasted,boasted,,
boat,n.,"小船,艇",,,,,,,,,,,,,
body,n.,"身体,本体;主体;尸体;物体;(一)群,批,堆",,,,,,,,,,,,,
boil,v.,"(使)沸腾,煮(沸)",,,,,,,,,boiling,boiled,boiled,,
bold,adj.,"大胆的,勇敢的;冒失的;黑体的,粗体的",,,,,,,,,,,,,
bolt,n.,"螺栓,(门,窗的)插销",v.,"闩(门),关窗,拴住",,,,,,,bolting,bolted,bolted,,
bomb,n.,炸弹,v.,"投弹于,轰炸",,,,,,,bombing,bombed,bombed,,
bond,n.,"结合(物),粘结(剂),联结;公债,债券,契约",,,,,,,,,,,,,
bone,n.,骨(骼),,,,,,,,,,,,,
bonus,n.,"奖金,红利",,,,,,,,,,,,,
book,n.,书，书籍,vt.,订(票，座位，房间等)，预定,,,,,,,booking,booked,booked,,
boom,v.,"迅速发展,兴旺;发出隆隆声",,,,,,,,,booming,boomed,boomed,,
boost,n.,/,vt.,提升；增加；抬高（价格）；支援,,,,,,,boosting,boosted,boosted,,
boot,n.,靴；(汽车后部的)行李箱；[the-]解雇,,,,,,,,,,,,,
booth,n.,"电话亭,货摊",,,,,,,,,,,,,
border,n.,"边界,国界;边(沿)",v.,"交界,与…接壤;接近",,,,,,,bordering,bordered,bordered,,
bore,v.,"钻(孔),挖(洞);烦扰",n.,"讨厌的人,麻烦事",,,,,,,boring,bored,bored,,
born,adj.,出生的，产生的；天生的，十足的,,,,,,,,,,,,,
borrow,vt.,借，借入；(思想、文字等)采用，抄袭,,,,,,,,,borrowing,borrowed,borrowed,,
bosom,n.,胸，胸部；胸怀；内心,adj.,亲密的,,,,,,,,,,,
boss,n.,老板，上司,vt.,指挥，控制，发号施令,,,,,,,bossing,bossed,bossed,,
both,prep.,两者(都)，双方(都）,adj.,两个(都),,,,,,,,,,,
bother,vt.,打扰，麻烦,vi.,担心，烦恼,n.,烦恼，焦急,,,,,bothering,bothered,bothered,,
bottle,n.,瓶(子),v.,装瓶,,,,,,,bottling,bottled,bottled,,
bottom,n.,"底(部);基础,根基;海底,湖底,河床",,,,,,,,,,,,,
bounce,n.&vi.,"(球)弹起,弹回；弹起,跳起",n.,弹力,,,,,,,bouncing,bounced,bounced,,
bound,v.&n.,跳(跃),adj.,被束缚的，一定的,n.,界限,,,,,bounding,bounded,bounded,,
boundary,n.,"分界线,边界",,,,,,,,,,,,,
bow,v.&n.,"鞠躬,点头",n.,弓(形);蝴蝶结,,,,,,,bowing,bowed,bowed,,
bowel,n.,肠；［pl.］内部，深处,,,,,,,,,,,,,
bowl,n.,"碗(状物),钵",,,,,,,,,,,,,
bowling,n.,保龄球运动,,,,,,,,,,,,,
box,n.,盒，箱；包厢,v.,把…装箱；拳击，打耳光,,,,,,,boxing,boxed,boxed,,
boy,n.,男孩子，儿子；男性服务员,,,,,,,,,,,,,
boycott,n.&v.,"(联合)抵制,拒绝参与",,,,,,,,,boycotting,boycotted,boycotted,,
brace,v.,"使防备;支撑;使(手,足,肩等)绷紧",n.,托架,,,,,,,bracing,braced,braced,,
bracket,n.,(方)括号,,,,,,,,,,,,,
brain,n.,"(大)脑,骨髓;(pl.)脑力,智能",,,,,,,,,,,,,
brake,v.&n.,"制动(器),闸,刹车",,,,,,,,,braking,braked,braked,,
branch,n.,"(树)条,分支;分店;(学科)分科,部门;支流",,,,,,,,,,,,,
brand,n.,"商标,标记,牌子",v.,"使铭记;打火印,打烙印",,,,,,,branding,branded,branded,,
brandy,n.,白兰地酒,,,,,,,,,,,,,
brass,n.,"黄铜,铜器",,,,,,,,,,,,,
brave,adj.,勇敢的,v.,勇敢地面对(危险等),,,,,,,braving,braved,braved,,
breach,n.,违反，不履行；破裂,vt.,冲破，攻破,,,,,,,breaching,breached,breached,,
bread,n.,面包,,,,,,,,,,,,,
breadth,n.,"宽度,幅",,,,,,,,,,,,,
break,vt.,打破；中止；违反,vi.,破(裂),n.,休息时间,,,,,breaking,broke,broken,,
breakdown,n.,崩溃；衰竭；(关系、计划或讨论等的)中断,,,,,,,,,,,,,
breakfast,n.,早餐,v.,(给某人)吃早餐,,,,,,,breakfasting,breakfasted,breakfasted,,
breast,n.,"胸膛,乳房",,,,,,,,,,,,,
breath,n.,"呼吸,气息",,,,,,,,,,,,,
breathe,v.,"呼吸,吸入",,,,,,,,,breathing,breathed,breathed,,
breed,v.,"(使)繁殖,生殖;产生;教养,抚养",n.,品种,,,,,,,breeding,bred,bred,,
breeze,n.,微风；轻而易举的事,vi.,来去匆匆，急速走,,,,,,,breezing,breezed,breezed,,
bribe,n.,贿赂,v.,"向…行贿,买通",,,,,,,bribing,bribed,bribed,,
brick,n.,砖块，砖,v.,用砖围砌，用砖填补,,,,,,,bricking,bricked,bricked,,
bride,n.,新娘,,,,,,,,,,,,,
bridge,n.,桥；桥牌；鼻梁,vt.,架桥；渡过,,,,,,,bridging,bridged,bridged,,
brief,adj.,"简短的,简洁的",v.,"简短介绍,简要汇报",,,,,,,briefing,briefed,briefed,,
briefcase,n.,手提箱，公事皮包,,,,,,,,,,,,,
bright,adj.,"明亮的,辉煌的;聪明的;欢快的,美好的",,,,,,,,,,,,,
brilliant,adj.,"光辉的,灿烂的;卓越的,有才华的",,,,,,,,,,,,,
brim,n.,"边缘,帽沿",,,,,,,,,,,,,
